City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,kerch,45.3583,36.4758,21.06,60,0,16.31,UA,1695073654
241,lihue,21.9789,-159.3672,28.77,69,40,14.97,US,1695073849
242,nema,57.5067,50.5011,7.91,90,77,8.46,RU,1695073849
243,altus,34.6381,-99.334,34.71,29,0,14.97,US,1695073849
244,bereznik,62.8551,42.7072,4.53,88,56,5.48,RU,1695073849
245,bugembe,0.4797,33.2344,18.7,91,100,1.83,UG,1695073849
246,hermanus,-34.4187,19.2345,9.89,87,62,4.99,ZA,1695073586
247,kaoma,-14.7833,24.8,21.79,20,47,8.88,ZM,1695073850
248,dublin,37.7021,-121.9358,28.71,53,0,12.66,US,1695073715
249,myeik,12.4333,98.6,25.22,90,98,2.91,MM,1695073850
250,bodaybo,57.8506,114.1933,-0.13,86,33,1.23,RU,1695073850
251,kingston,17.997,-76.7936,30.53,79,40,3.44,JM,1695073640
252,whitecourt,54.1502,-115.6855,15.58,38,40,12.66,CA,1695073850
253,leua,48.2156,18.6071,24.16,56,99,11.92,SK,1695073850
254,nishinoomote,30.7333,131.0,26.23,81,3,2.59,JP,1695073850
255,calvinia,-31.4707,19.776,11.64,43,0,2.75,ZA,1695073850
256,inhambane,-23.865,35.3833,19.53,83,1,7.11,MZ,1695073851
257,butte,39.6499,-121.5677,27.23,43,0,6.91,US,1695073851
258,fada,9.5667,8.3,18.79,93,38,2.55,NG,1695073851
259,kantunilkin,21.0917,-87.45,27.43,82,82,4.12,MX,1695073851
260,ribera,37.4984,13.2642,26.47,46,100,1.79,IT,1695073851
261,pucallpa,-8.3791,-74.5539,35.02,46,40,4.61,PE,1695073851
262,fortuna foothills,32.6578,-114.4119,36.79,22,0,8.05,US,1695073851
263,suva,-18.1416,178.4415,25.71,78,75,13.8,FJ,1695073851
264,tadine,-21.55,167.8833,22.0,89,68,19.33,NC,1695073851
265,manado,1.487,124.8455,23.43,83,20,3.44,ID,1695073852
266,lae,-6.7221,146.9847,21.37,76,100,3.27,PG,1695073852
267,kuusamo,65.9667,29.1833,8.02,71,0,9.22,FI,1695073852
268,dwarka,22.2394,68.9678,27.55,88,97,11.99,IN,1695073852
269,mejit,10.2753,170.8646,27.78,78,100,8.59,MH,1695073852
270,north bay,46.3168,-79.4663,16.17,65,40,11.5,CA,1695073852
271,vernon,50.2581,-119.2691,20.2,29,58,4.0,CA,1695073852
272,kudahuvadhoo,2.6708,72.8944,27.2,80,100,12.73,MV,1695073852
273,peace river,56.2501,-117.286,16.17,41,75,10.36,CA,1695073852
274,bokakhat,26.6333,93.6,24.96,93,100,0.27,IN,1695073852
275,kandahar,31.0,65.75,21.78,18,3,5.39,AF,1695073853
276,minas de marcona,-15.2119,-75.1103,17.85,65,4,13.18,PE,1695073853
277,mola di bari,41.0609,17.0873,27.4,67,100,3.2,IT,1695073853
278,port augusta,-32.5,137.7667,17.73,66,94,1.43,AU,1695073853
279,alofi,-19.0595,-169.9187,24.94,57,75,21.85,NU,1695073853
280,borovskoy,53.8,64.15,14.37,57,68,4.61,KZ,1695073853
281,arteche,12.2645,125.4048,26.57,83,59,3.15,PH,1695073853
282,lucas,41.6501,-83.6666,21.08,57,40,8.05,US,1695073853
283,tazovsky,67.4667,78.7,2.0,85,70,8.14,RU,1695073853
284,ytrebygda,60.305,5.2824,15.18,98,75,18.41,NO,1695073854
285,westport,41.1415,-73.3579,20.99,90,100,1.01,US,1695073854
286,saipan,15.1355,145.701,28.39,83,20,13.8,MP,1695073854
287,novoishimskiy,53.1981,66.7694,14.34,61,63,3.76,KZ,1695073854
288,awash,8.9833,40.1667,21.64,78,100,3.49,ET,1695073854
289,matola,-25.9622,32.4589,20.97,77,0,11.5,MZ,1695073854
290,port alfred,-33.5906,26.891,11.21,90,34,3.0,ZA,1695073854
291,san borja,-14.8167,-66.85,32.16,41,83,1.72,BO,1695073854
292,parabel',58.6978,81.4825,10.53,88,60,1.79,RU,1695073854
293,slyudyanka,51.6594,103.7061,8.01,85,78,5.57,RU,1695073854
294,tura,25.5198,90.2201,23.43,95,100,4.07,IN,1695073855
295,rio grande,-32.035,-52.0986,17.06,96,100,14.76,BR,1695073576
296,daru,-9.0763,143.2092,25.06,79,52,12.59,PG,1695073855
297,usinsk,65.9939,57.5281,8.29,95,100,13.2,RU,1695073855
298,port lincoln,-34.7333,135.8667,13.47,84,20,13.62,AU,1695073855
299,purna,19.1833,77.05,23.72,80,35,6.64,IN,1695073855
300,faya-largeau,17.9257,19.1043,31.24,11,24,11.36,TD,1695073855
301,sarankhola,22.3082,89.7897,25.66,94,99,4.5,BD,1695073855
302,al jawf,29.5,38.75,25.09,21,0,5.17,SA,1695073855
303,crane,31.3974,-102.3501,32.55,27,0,10.33,US,1695073856
304,tabou,4.423,-7.3528,25.36,88,100,8.72,CI,1695073856
305,viedma,-40.8135,-62.9967,7.83,61,56,9.86,AR,1695073856
306,mazidagi,37.4775,40.4881,21.34,24,0,2.51,TR,1695073856
307,thal,35.4791,72.2439,14.07,90,6,2.13,PK,1695073856
308,orsa,54.5153,30.4053,14.64,74,12,8.05,BY,1695073856
309,balsas,-7.5325,-46.0356,31.65,22,18,5.06,BR,1695073856
310,acarau,-2.8856,-40.12,26.09,81,23,17.38,BR,1695073856
311,alpine,32.835,-116.7664,25.32,66,0,11.18,US,1695073857
312,sola,-13.8833,167.55,26.37,89,75,5.75,VU,1695073857
313,severnoye,56.3491,78.3619,10.33,88,32,2.48,RU,1695073857
314,hamilton,39.1834,-84.5333,24.4,46,75,11.5,US,1695073857
315,santa vitoria,-18.8386,-50.1214,30.93,33,57,1.3,BR,1695073857
316,arenapolis,-14.4503,-56.8461,29.09,52,96,2.62,BR,1695073857
317,swift current,50.2834,-107.8014,26.45,18,0,8.05,CA,1695073857
318,badger,64.8,-147.5333,6.93,86,75,3.44,US,1695073857
319,sidhi,24.4167,81.8833,25.35,85,17,1.81,IN,1695073857
320,forster,-32.1667,152.5167,17.99,78,0,8.23,AU,1695073858
321,sanctuary point,-35.1114,150.629,25.11,34,58,7.09,AU,1695073858
322,labasa,-16.4167,179.3833,27.25,73,37,11.9,FJ,1695073858
323,le mars,42.7942,-96.1656,30.91,33,0,16.11,US,1695073858
324,udachny,66.4167,112.4,-1.97,79,76,9.98,RU,1695073858
325,gurupi,-11.7292,-49.0686,33.29,21,59,5.28,BR,1695073614
326,vila franca do campo,37.7167,-25.4333,18.82,99,64,3.44,PT,1695073858
327,dazuocun,24.8862,118.9643,26.51,84,7,8.77,CN,1695073858
328,qarah bagh,34.9402,61.7759,15.44,30,0,10.11,AF,1695073858
329,wajir,1.7471,40.0573,26.14,56,91,17.43,KE,1695073858
330,wynyard,-41.0,145.7167,11.07,96,97,3.33,AU,1695073858
331,okahao,-17.885,15.0667,21.93,20,44,11.48,NA,1695073859
332,pionerskiy,54.9508,20.2275,18.91,76,100,15.86,RU,1695073567
333,novodvinsk,64.4165,40.8122,3.0,94,21,5.21,RU,1695073859
334,fengtai,39.5581,117.7492,18.66,73,97,8.9,CN,1695073859
335,zyryanskoye,56.8306,86.6258,9.73,90,83,3.33,RU,1695073859
336,carnarvon,-24.8667,113.6333,16.34,67,4,19.33,AU,1695073859
337,loyew,51.9458,30.7953,13.48,52,0,6.8,BY,1695073859
338,den burg,53.0542,4.7972,16.1,70,75,20.71,NL,1695073859
339,nyurba,63.2842,118.3319,-3.09,94,15,4.61,RU,1695073859
340,keflavik,64.0049,-22.5624,8.95,87,40,6.91,IS,1695073859
341,kerema,-7.9631,145.7785,24.11,79,100,1.39,PG,1695073860
342,yorkton,51.2167,-102.4677,27.91,23,0,12.66,CA,1695073860
343,kisangani,0.5167,25.2,21.39,90,85,1.83,CD,1695073860
344,whistler,50.1164,-122.9695,15.86,41,40,2.3,CA,1695073860
345,puan,35.7281,126.7319,20.94,94,83,3.44,KR,1695073860
346,kavieng,-2.5744,150.7967,26.49,82,100,13.22,PG,1695073860
347,okhotsk,59.3833,143.3,7.34,78,100,6.08,RU,1695073860
348,kenai,60.5544,-151.2583,12.3,53,0,10.36,US,1695073860
349,vadso,70.0744,29.7487,5.49,87,75,2.3,NO,1695073860
350,aguililla,18.7333,-102.7333,28.4,56,5,2.13,MX,1695073860
351,ntungamo,-0.8833,29.65,18.26,96,99,1.81,UG,1695073861
352,altayskoye,51.9533,85.3325,12.08,90,97,4.45,RU,1695073861
353,carbonear,47.7332,-53.2148,13.75,87,75,14.12,CA,1695073861
354,ceeldheer,3.8488,47.1806,24.86,86,90,16.02,SO,1695073861
355,new kingman-butler,35.265,-114.0323,32.68,7,0,15.64,US,1695073861
356,tongchuanshi,35.0806,109.0897,18.36,92,100,7.63,CN,1695073660
357,mahendranagar,28.9167,80.3333,24.9,88,14,4.09,NP,1695073861
358,saudarkrokur,65.7461,-19.6394,7.8,94,100,3.44,IS,1695073861
359,uturoa,-16.7333,-151.4333,25.03,79,95,21.97,PF,1695073862
360,vorkuta,67.5,64.0,4.85,86,100,11.16,RU,1695073580
361,mstsislaw,54.0192,31.7257,13.89,61,57,7.76,BY,1695073862
362,senador jose porfirio,-2.5908,-51.9542,30.02,49,81,1.52,BR,1695073862
363,kolonia town,6.964,158.206,26.0,94,100,2.3,FM,1695073862
364,middlebury (village),44.0153,-73.1673,16.53,93,100,0.0,US,1695073862
365,gillette,44.2911,-105.5022,28.51,16,0,9.22,US,1695073862
366,veseli nad luznici,49.1843,14.6973,18.52,91,100,3.91,CZ,1695073862
